dataset,fold_id,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,lof_score,relative_proximity,compactness,pred_margin_weight,step_weight_type,threshold_tau
DRS_TissueClassification,1,1dCNN autoencoder,0.9975,4.036912287119776e-05,0.001,1.2274687924863148,1.0,0.98,0.5497642043797751,0.6598758981058132,0.8,local,0.8
DRS_TissueClassification,1,No autoencoder,0.9975,0,0.001,1.1288893414247416,0.64,0.98,0.5056119996045445,0.8311365120836055,0.8,local,0.8
DRS_TissueClassification,2,1dCNN autoencoder,0.9975,7.542551611550152e-05,0.001,1.2552068996305963,1.0,1.0,0.554043392951121,0.6673416067929457,0.8,local,0.8
DRS_TissueClassification,2,No autoencoder,0.9975,0,0.001,0.9568633484200402,0.93,1.0,0.422355721837754,0.7344546048334422,0.8,local,0.8
DRS_TissueClassification,3,1dCNN autoencoder,0.9975,2.994311580550857e-05,0.001,1.5601260165404738,0.94,0.93,0.7159635237861056,0.6203723056825604,0.8,local,0.8
DRS_TissueClassification,3,No autoencoder,0.9975,0,0.001,0.8562140744939167,0.72,0.95,0.3929285451243679,0.7209797517962117,0.8,local,0.8
DRS_TissueClassification,4,1dCNN autoencoder,0.9924999999999999,2.511282218620181e-05,0.001,1.7883166801188524,1.0,0.96,0.7248588845350553,0.5246897452645329,0.8,local,0.8
DRS_TissueClassification,4,No autoencoder,0.9924999999999999,0,0.001,1.213923538408074,0.76,1.0,0.4920399567613738,0.6636903984323971,0.8,local,0.8
DRS_TissueClassification,5,1dCNN autoencoder,0.9924999999999999,6.726985157001764e-05,0.001,1.1309619610234158,1.0,0.96,0.5083169866470968,0.6395297191378184,0.8,local,0.8
DRS_TissueClassification,5,No autoencoder,0.9924999999999999,0,0.001,0.94645241030956,0.95,0.97,0.42538816847393174,0.7454212932723709,0.8,local,0.8
